"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25361","Save recipe with photo and check created recipe","Google Chrome","2026-08-26","passed","2026-08-26","Create recipe","test-create-recipe.spec.ts","",""
"","23773","Save recipe","Google Chrome","2026-08-26","passed","2026-08-26","Create recipe","test-create-recipe.spec.ts","",""
"","4317","get started link","Google Chrome","2026-08-26","passed","2026-08-26","","example.spec.ts","",""
"","3842","has title","Google Chrome","2026-08-26","passed","2026-08-26","","example.spec.ts","",""
"","22197","Заполнение основной информации и ингредиентов при создании рецепта","Google Chrome","2026-08-26","passed","2026-08-26","Add recipe page","test-create-recipe-form.spec.ts","",""
"","9086","Bar page: Filter by tag","Google Chrome","2026-08-26","passed","2026-08-26","Bar page","test-bar-page.spec.ts","",""
"","9392","test filter on coffe page","Google Chrome","2026-08-26","passed","2026-08-26","Coffee page","test-coffe-page.spec.ts","",""
"","2407","test-show","Google Chrome","2026-08-26","passed","2026-08-26","","test-login.spec.ts","",""
"","13738","Заполнение основной формы при создании рецепта","Google Chrome","2026-08-26","passed","2026-08-26","Add recipe page","test-create-recipe-form.spec.ts","",""
"","6705","Bar page: Filter by favorite button","Google Chrome","2026-08-26","passed","2026-08-26","Bar page","test-bar-page.spec.ts","",""
"","5336","Main page: Filter by cook time","Google Chrome","2026-08-26","passed","2026-08-26","Main page","test-main-page.spec.ts","",""
"","15672","авторизация","setup","2026-08-26","passed","2026-08-26","","auth.setup.ts","",""
"","4830","Main page: Filter by tags","Google Chrome","2026-08-26","passed","2026-08-26","Main page","test-main-page.spec.ts","",""
"","4873","Main page: Filter by category","Google Chrome","2026-08-26","passed","2026-08-26","Main page","test-main-page.spec.ts","",""
