"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Bar page: Filter by tag","Mobile Chrome","2026-08-25","skipped","2026-08-25","Bar page","test-bar-page.spec.ts","",""
"","1","Заполнение основной формы при создании рецепта","Google Chrome","2026-08-25","skipped","2026-08-25","Add recipe page","test-create-recipe-form.spec.ts","",""
"","0","test auth faild","chromium","2026-08-25","skipped","2026-08-25","","test-login.spec.ts","",""
"","0","get started link","firefox","2026-08-25","skipped","2026-08-25","","example.spec.ts","",""
"","0","Bar page: Filter by favorite button","webkit","2026-08-25","skipped","2026-08-25","Bar page","test-bar-page.spec.ts","",""
"","0","Main page: Filter by tags","Mobile Chrome","2026-08-25","skipped","2026-08-25","Main page","test-main-page.spec.ts","",""
"","0","Заполнение основной формы при создании рецепта","firefox","2026-08-25","skipped","2026-08-25","Add recipe page","test-create-recipe-form.spec.ts","",""
"","0","Main page: Filter by cook time","webkit","2026-08-25","skipped","2026-08-25","Main page","test-main-page.spec.ts","",""
"","0","Main page: Filter by cook time","chromium","2026-08-25","skipped","2026-08-25","Main page","test-main-page.spec.ts","",""
"","0","Main page: Filter by cook time","Mobile Safari","2026-08-25","skipped","2026-08-25","Main page","test-main-page.spec.ts","",""
"","1","Заполнение основной формы при создании рецепта","chromium","2026-08-25","skipped","2026-08-25","Add recipe page","test-create-recipe-form.spec.ts","",""
"","0","test filter on coffe page","Mobile Chrome","2026-08-25","skipped","2026-08-25","Coffee page","test-coffe-page.spec.ts","",""
"","0","Save recipe","Google Chrome","2026-08-25","skipped","2026-08-25","Create recipe","test-create-recipe.spec.ts","",""
"","644","авторизация","setup","2026-08-25","failed","2026-08-25","","auth.setup.ts","",""
"","1","test auth faild","webkit","2026-08-25","skipped","2026-08-25","","test-login.spec.ts","",""
"","0","test filter on coffe page","Mobile Safari","2026-08-25","skipped","2026-08-25","Coffee page","test-coffe-page.spec.ts","",""
"","0","Main page: Filter by category","chromium","2026-08-25","skipped","2026-08-25","Main page","test-main-page.spec.ts","",""
"","0","Save recipe","firefox","2026-08-25","skipped","2026-08-25","Create recipe","test-create-recipe.spec.ts","",""
"","0","get started link","chromium","2026-08-25","skipped","2026-08-25","","example.spec.ts","",""
"","0","get started link","Mobile Chrome","2026-08-25","skipped","2026-08-25","","example.spec.ts","",""
