"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Save recipe","Mobile Safari","2026-08-25","skipped","2026-08-25","Create recipe","test-create-recipe.spec.ts","",""
"","0","Bar page: Filter by tag","chromium","2026-08-25","skipped","2026-08-25","Bar page","test-bar-page.spec.ts","",""
"","0","Save recipe with photo and check created recipe","Mobile Safari","2026-08-25","skipped","2026-08-25","Create recipe","test-create-recipe.spec.ts","",""
"","0","Bar page: Filter by favorite button","Mobile Safari","2026-08-25","skipped","2026-08-25","Bar page","test-bar-page.spec.ts","",""
"","0","test auth faild","Mobile Chrome","2026-08-25","skipped","2026-08-25","","test-login.spec.ts","",""
"","1","Bar page: Filter by favorite button","chromium","2026-08-25","skipped","2026-08-25","Bar page","test-bar-page.spec.ts","",""
"","0","Bar page: Filter by tag","firefox","2026-08-25","skipped","2026-08-25","Bar page","test-bar-page.spec.ts","",""
"","0","Bar page: Filter by tag","webkit","2026-08-25","skipped","2026-08-25","Bar page","test-bar-page.spec.ts","",""
"","0","Bar page: Filter by tag","Google Chrome","2026-08-25","skipped","2026-08-25","Bar page","test-bar-page.spec.ts","",""
"","0","Main page: Filter by category","webkit","2026-08-25","skipped","2026-08-25","Main page","test-main-page.spec.ts","",""
"","0","Main page: Filter by cook time","Mobile Chrome","2026-08-25","skipped","2026-08-25","Main page","test-main-page.spec.ts","",""
"","0","Main page: Filter by category","Google Chrome","2026-08-25","skipped","2026-08-25","Main page","test-main-page.spec.ts","",""
"","0","test filter on coffe page","Google Chrome","2026-08-25","skipped","2026-08-25","Coffee page","test-coffe-page.spec.ts","",""
"","0","Main page: Filter by tags","Mobile Safari","2026-08-25","skipped","2026-08-25","Main page","test-main-page.spec.ts","",""
"","0","Заполнение основной информации и ингредиентов при создании рецепта","Mobile Safari","2026-08-25","skipped","2026-08-25","Add recipe page","test-create-recipe-form.spec.ts","",""
"","0","Main page: Filter by category","Mobile Safari","2026-08-25","skipped","2026-08-25","Main page","test-main-page.spec.ts","",""
"","0","Save recipe with photo and check created recipe","firefox","2026-08-25","skipped","2026-08-25","Create recipe","test-create-recipe.spec.ts","",""
"","0","Main page: Filter by tags","chromium","2026-08-25","skipped","2026-08-25","Main page","test-main-page.spec.ts","",""
"","0","Заполнение основной информации и ингредиентов при создании рецепта","chromium","2026-08-25","skipped","2026-08-25","Add recipe page","test-create-recipe-form.spec.ts","",""
"","0","test-show","chromium","2026-08-25","skipped","2026-08-25","","test-login.spec.ts","",""
"","1","Save recipe","chromium","2026-08-25","skipped","2026-08-25","Create recipe","test-create-recipe.spec.ts","",""
"","0","has title","Mobile Safari","2026-08-25","skipped","2026-08-25","","example.spec.ts","",""
"","0","get started link","Mobile Safari","2026-08-25","skipped","2026-08-25","","example.spec.ts","",""
"","0","test auth faild","Google Chrome","2026-08-25","skipped","2026-08-25","","test-login.spec.ts","",""
"","0","test-show","Mobile Chrome","2026-08-25","skipped","2026-08-25","","test-login.spec.ts","",""
"","1","get started link","Google Chrome","2026-08-25","skipped","2026-08-25","","example.spec.ts","",""
"","0","Заполнение основной информации и ингредиентов при создании рецепта","Mobile Chrome","2026-08-25","skipped","2026-08-25","Add recipe page","test-create-recipe-form.spec.ts","",""
"","0","Save recipe with photo and check created recipe","webkit","2026-08-25","skipped","2026-08-25","Create recipe","test-create-recipe.spec.ts","",""
"","0","test auth faild","firefox","2026-08-25","skipped","2026-08-25","","test-login.spec.ts","",""
"","0","Save recipe","webkit","2026-08-25","skipped","2026-08-25","Create recipe","test-create-recipe.spec.ts","",""
"","0","Main page: Filter by tags","webkit","2026-08-25","skipped","2026-08-25","Main page","test-main-page.spec.ts","",""
"","0","Заполнение основной информации и ингредиентов при создании рецепта","Google Chrome","2026-08-25","skipped","2026-08-25","Add recipe page","test-create-recipe-form.spec.ts","",""
"","0","Main page: Filter by category","firefox","2026-08-25","skipped","2026-08-25","Main page","test-main-page.spec.ts","",""
"","0","Save recipe with photo and check created recipe","Google Chrome","2026-08-25","skipped","2026-08-25","Create recipe","test-create-recipe.spec.ts","",""
"","0","test-show","Mobile Safari","2026-08-25","skipped","2026-08-25","","test-login.spec.ts","",""
"","0","test filter on coffe page","webkit","2026-08-25","skipped","2026-08-25","Coffee page","test-coffe-page.spec.ts","",""
"","1","Заполнение основной формы при создании рецепта","Mobile Safari","2026-08-25","skipped","2026-08-25","Add recipe page","test-create-recipe-form.spec.ts","",""
"","0","test auth faild","Mobile Safari","2026-08-25","skipped","2026-08-25","","test-login.spec.ts","",""
"","0","has title","firefox","2026-08-25","skipped","2026-08-25","","example.spec.ts","",""
"","0","has title","chromium","2026-08-25","skipped","2026-08-25","","example.spec.ts","",""
"","0","test-show","webkit","2026-08-25","skipped","2026-08-25","","test-login.spec.ts","",""
"","0","Main page: Filter by cook time","firefox","2026-08-25","skipped","2026-08-25","Main page","test-main-page.spec.ts","",""
"","0","Main page: Filter by category","Mobile Chrome","2026-08-25","skipped","2026-08-25","Main page","test-main-page.spec.ts","",""
"","0","Save recipe with photo and check created recipe","chromium","2026-08-25","skipped","2026-08-25","Create recipe","test-create-recipe.spec.ts","",""
"","0","has title","Mobile Chrome","2026-08-25","skipped","2026-08-25","","example.spec.ts","",""
"","0","Заполнение основной формы при создании рецепта","Mobile Chrome","2026-08-25","skipped","2026-08-25","Add recipe page","test-create-recipe-form.spec.ts","",""
"","0","has title","webkit","2026-08-25","skipped","2026-08-25","","example.spec.ts","",""
"","0","has title","Google Chrome","2026-08-25","skipped","2026-08-25","","example.spec.ts","",""
"","0","Bar page: Filter by tag","Mobile Safari","2026-08-25","skipped","2026-08-25","Bar page","test-bar-page.spec.ts","",""
"","0","Заполнение основной информации и ингредиентов при создании рецепта","firefox","2026-08-25","skipped","2026-08-25","Add recipe page","test-create-recipe-form.spec.ts","",""
"","1","test filter on coffe page","firefox","2026-08-25","skipped","2026-08-25","Coffee page","test-coffe-page.spec.ts","",""
"","1","Заполнение основной информации и ингредиентов при создании рецепта","webkit","2026-08-25","skipped","2026-08-25","Add recipe page","test-create-recipe-form.spec.ts","",""
"","0","test filter on coffe page","chromium","2026-08-25","skipped","2026-08-25","Coffee page","test-coffe-page.spec.ts","",""
"","0","test-show","Google Chrome","2026-08-25","skipped","2026-08-25","","test-login.spec.ts","",""
"","0","Main page: Filter by cook time","Google Chrome","2026-08-25","skipped","2026-08-25","Main page","test-main-page.spec.ts","",""
"","0","Save recipe with photo and check created recipe","Mobile Chrome","2026-08-25","skipped","2026-08-25","Create recipe","test-create-recipe.spec.ts","",""
"","0","test-show","firefox","2026-08-25","skipped","2026-08-25","","test-login.spec.ts","",""
"","1","Bar page: Filter by favorite button","Google Chrome","2026-08-25","skipped","2026-08-25","Bar page","test-bar-page.spec.ts","",""
"","0","Save recipe","Mobile Chrome","2026-08-25","skipped","2026-08-25","Create recipe","test-create-recipe.spec.ts","",""
"","0","Заполнение основной формы при создании рецепта","webkit","2026-08-25","skipped","2026-08-25","Add recipe page","test-create-recipe-form.spec.ts","",""
"","0","Main page: Filter by tags","Google Chrome","2026-08-25","skipped","2026-08-25","Main page","test-main-page.spec.ts","",""
"","0","Bar page: Filter by favorite button","firefox","2026-08-25","skipped","2026-08-25","Bar page","test-bar-page.spec.ts","",""
"","0","Main page: Filter by tags","firefox","2026-08-25","skipped","2026-08-25","Main page","test-main-page.spec.ts","",""
"","0","get started link","webkit","2026-08-25","skipped","2026-08-25","","example.spec.ts","",""
"","0","Bar page: Filter by favorite button","Mobile Chrome","2026-08-25","skipped","2026-08-25","Bar page","test-bar-page.spec.ts","",""
