"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9988","Заполнение основной формы при создании рецепта","Mobile Chrome","2026-08-26","passed","2026-08-26","Add recipe page","test-create-recipe-form.spec.ts","",""
"","22048","Заполнение основной информации и ингредиентов при создании рецепта","Mobile Chrome","2026-08-26","passed","2026-08-26","Add recipe page","test-create-recipe-form.spec.ts","",""
"","7340","test-show","Mobile Chrome","2026-08-26","failed","2026-08-26","","test-login.spec.ts","",""
"","4977","Main page: Filter by category","Mobile Chrome","2026-08-26","passed","2026-08-26","Main page","test-main-page.spec.ts","",""
"","5086","Bar page: Filter by favorite button","Mobile Chrome","2026-08-26","passed","2026-08-26","Bar page","test-bar-page.spec.ts","",""
"","1498","has title","Mobile Chrome","2026-08-26","passed","2026-08-26","","example.spec.ts","",""
"","5664","Main page: Filter by tags","Mobile Chrome","2026-08-26","passed","2026-08-26","Main page","test-main-page.spec.ts","",""
"","1813","get started link","Mobile Chrome","2026-08-26","passed","2026-08-26","","example.spec.ts","",""
"","20954","Save recipe","Mobile Chrome","2026-08-26","passed","2026-08-26","Create recipe","test-create-recipe.spec.ts","",""
"","8568","test filter on coffe page","Mobile Chrome","2026-08-26","passed","2026-08-26","Coffee page","test-coffe-page.spec.ts","",""
"","25160","Save recipe with photo and check created recipe","Mobile Chrome","2026-08-26","passed","2026-08-26","Create recipe","test-create-recipe.spec.ts","",""
"","5111","Main page: Filter by cook time","Mobile Chrome","2026-08-26","passed","2026-08-26","Main page","test-main-page.spec.ts","",""
"","15106","авторизация","setup","2026-08-26","passed","2026-08-26","","auth.setup.ts","",""
"","6098","Bar page: Filter by tag","Mobile Chrome","2026-08-26","passed","2026-08-26","Bar page","test-bar-page.spec.ts","",""
