"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22858","Save recipe","chromium","2026-08-26","passed","2026-08-26","Create recipe","test-create-recipe.spec.ts","",""
"","1789","test-show","chromium","2026-08-26","passed","2026-08-26","","test-login.spec.ts","",""
"","4051","Main page: Filter by tags","chromium","2026-08-26","passed","2026-08-26","Main page","test-main-page.spec.ts","",""
"","26531","Save recipe with photo and check created recipe","chromium","2026-08-26","passed","2026-08-26","Create recipe","test-create-recipe.spec.ts","",""
"","1835","has title","chromium","2026-08-26","passed","2026-08-26","","example.spec.ts","",""
"","7278","Bar page: Filter by tag","chromium","2026-08-26","passed","2026-08-26","Bar page","test-bar-page.spec.ts","",""
"","18636","Заполнение основной информации и ингредиентов при создании рецепта","chromium","2026-08-26","passed","2026-08-26","Add recipe page","test-create-recipe-form.spec.ts","",""
"","13209","авторизация","setup","2026-08-26","passed","2026-08-26","","auth.setup.ts","",""
"","11181","Заполнение основной формы при создании рецепта","chromium","2026-08-26","passed","2026-08-26","Add recipe page","test-create-recipe-form.spec.ts","",""
"","1854","get started link","chromium","2026-08-26","passed","2026-08-26","","example.spec.ts","",""
"","8060","test filter on coffe page","chromium","2026-08-26","passed","2026-08-26","Coffee page","test-coffe-page.spec.ts","",""
"","5244","Bar page: Filter by favorite button","chromium","2026-08-26","passed","2026-08-26","Bar page","test-bar-page.spec.ts","",""
"","3990","Main page: Filter by category","chromium","2026-08-26","passed","2026-08-26","Main page","test-main-page.spec.ts","",""
"","4651","Main page: Filter by cook time","chromium","2026-08-26","passed","2026-08-26","Main page","test-main-page.spec.ts","",""
