"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6535","Bar page: Filter by tag","Mobile Chrome","2026-08-27","passed","2026-08-27","Bar page","test-bar-page.spec.ts","",""
"","10804","Заполнение основной формы при создании рецепта","Mobile Chrome","2026-08-27","passed","2026-08-27","Add recipe page","test-create-recipe-form.spec.ts","",""
"","5302","Bar page: Filter by favorite button","Mobile Chrome","2026-08-27","passed","2026-08-27","Bar page","test-bar-page.spec.ts","",""
"","14894","авторизация","setup","2026-08-27","passed","2026-08-27","","auth.setup.ts","",""
"","6187","Main page: Filter by category","Mobile Chrome","2026-08-27","passed","2026-08-27","Main page","test-main-page.spec.ts","",""
"","20686","Заполнение основной информации и ингредиентов при создании рецепта","Mobile Chrome","2026-08-27","passed","2026-08-27","Add recipe page","test-create-recipe-form.spec.ts","",""
"","9223","test filter on coffe page","Mobile Chrome","2026-08-27","passed","2026-08-27","Coffee page","test-coffe-page.spec.ts","",""
"","5387","Main page: Filter by tags","Mobile Chrome","2026-08-27","passed","2026-08-27","Main page","test-main-page.spec.ts","",""
"","5573","Main page: Filter by cook time","Mobile Chrome","2026-08-27","passed","2026-08-27","Main page","test-main-page.spec.ts","",""
"","22940","Save recipe","Mobile Chrome","2026-08-27","passed","2026-08-27","Create recipe","test-create-recipe.spec.ts","",""
"","2031","get started link","Mobile Chrome","2026-08-27","passed","2026-08-27","","example.spec.ts","",""
"","1600","has title","Mobile Chrome","2026-08-27","passed","2026-08-27","","example.spec.ts","",""
"","25925","Save recipe with photo and check created recipe","Mobile Chrome","2026-08-27","passed","2026-08-27","Create recipe","test-create-recipe.spec.ts","",""
"","2957","test-show","Mobile Chrome","2026-08-27","passed","2026-08-27","","test-login.spec.ts","",""
