"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1397","has title","Mobile Chrome","2026-08-27","passed","2026-08-27","","example.spec.ts","",""
"","8956","test filter on coffe page","Mobile Chrome","2026-08-27","passed","2026-08-27","Coffee page","test-coffe-page.spec.ts","",""
"","7142","test-show","Mobile Chrome","2026-08-27","failed","2026-08-27","","test-login.spec.ts","",""
"","22059","Save recipe","Mobile Chrome","2026-08-27","passed","2026-08-27","Create recipe","test-create-recipe.spec.ts","",""
"","4980","Main page: Filter by tags","Mobile Chrome","2026-08-27","passed","2026-08-27","Main page","test-main-page.spec.ts","",""
"","26536","Save recipe with photo and check created recipe","Mobile Chrome","2026-08-27","passed","2026-08-27","Create recipe","test-create-recipe.spec.ts","",""
"","4935","Main page: Filter by cook time","Mobile Chrome","2026-08-27","passed","2026-08-27","Main page","test-main-page.spec.ts","",""
"","4940","Main page: Filter by category","Mobile Chrome","2026-08-27","passed","2026-08-27","Main page","test-main-page.spec.ts","",""
"","10434","Заполнение основной формы при создании рецепта","Mobile Chrome","2026-08-27","passed","2026-08-27","Add recipe page","test-create-recipe-form.spec.ts","",""
"","1836","get started link","Mobile Chrome","2026-08-27","passed","2026-08-27","","example.spec.ts","",""
"","19504","Заполнение основной информации и ингредиентов при создании рецепта","Mobile Chrome","2026-08-27","passed","2026-08-27","Add recipe page","test-create-recipe-form.spec.ts","",""
"","5304","Bar page: Filter by favorite button","Mobile Chrome","2026-08-27","passed","2026-08-27","Bar page","test-bar-page.spec.ts","",""
"","15534","авторизация","setup","2026-08-27","passed","2026-08-27","","auth.setup.ts","",""
"","6657","Bar page: Filter by tag","Mobile Chrome","2026-08-27","passed","2026-08-27","Bar page","test-bar-page.spec.ts","",""
